ANL_index,ANL_Run,ANL_Table,DIA_in,LENGTH_in,G_1e6,Hsub_BTUlb,qCHF_1e6,ANL_dh_exit_BTUlb,ANL_Note,match_status,TM_EXPT_NO,TM_Exit_Quality,TM_flag
158,18-52,ANL_Table_II_D0p436,0.436,18.0,0.506,223.0,0.702,5.5,,MATCH_EXACT,596.09,0.013,J
159,18-53,ANL_Table_II_D0p436,0.436,18.0,0.497,162.0,0.6,37.0,,MATCH_EXACT,589.09,0.081,J
160,18-54,ANL_Table_II_D0p436,0.436,18.0,0.513,87.5,0.499,72.5,,MATCH_EXACT,603.09,0.158,J
161,18-55,ANL_Table_II_D0p436,0.436,18.0,0.496,28.5,0.415,108.5,,MATCH_EXACT,586.09,0.237,J
162,18-56,ANL_Table_II_D0p436,0.436,18.0,0.449,5.5,0.382,134.5,,MATCH_EXACT,582.09,0.291,J
163,18-57,ANL_Table_II_D0p436,0.436,18.0,0.5,477.0,1.24,-71.0,,MATCH_EXACT,590.09,-0.146,J
164,19-1,ANL_Table_II_D0p436,0.436,18.0,0.509,595.0,1.13,-229.0,non-monotonic vs -2: verify,MATCH_EXACT,601.09,-0.493,J
165,19-2,ANL_Table_II_D0p436,0.436,18.0,0.509,552.0,1.2,-166.0,non-monotonic vs -1: verify,MATCH_EXACT,602.09,-0.351,J
166,19-3,ANL_Table_II_D0p436,0.436,18.0,0.507,508.0,1.1,-152.0,,MATCH_EXACT,597.09,-0.323,J
167,19-4,ANL_Table_II_D0p436,0.436,18.0,0.496,420.0,1.06,-70.5,,MATCH_EXACT,587.09,-0.145,J
168,19-5,ANL_Table_II_D0p436,0.436,18.0,0.491,382.0,0.958,-62.0,,MATCH_EXACT,584.09,-0.129,J
169,19-6,ANL_Table_II_D0p436,0.436,18.0,0.487,343.0,0.902,-39.0,,MATCH_EXACT,583.09,-0.08,J
170,19-7,ANL_Table_II_D0p436,0.436,18.0,0.496,287.0,0.801,-22.0,,MATCH_EXACT,588.09,-0.044,J
171,19-8,ANL_Table_II_D0p436,0.436,18.0,0.508,217.0,0.7,10.0,,MATCH_EXACT,598.09,0.023,J
172,19-9,ANL_Table_II_D0p436,0.436,18.0,0.503,159.0,0.602,38.0,,MATCH_EXACT,592.09,0.083,J
173,19-10,ANL_Table_II_D0p436,0.436,18.0,0.508,81.0,0.499,84.0,,MATCH_EXACT,599.09,0.175,J
174,19-11,ANL_Table_II_D0p436,0.436,18.0,0.508,25.0,0.406,110.0,,MATCH_EXACT,600.09,0.231,J
175,19-12,ANL_Table_II_D0p436,0.436,18.0,0.245,481.0,0.818,68.0,,MATCH_EXACT,558.09,0.152,J
176,19-13,ANL_Table_II_D0p436,0.436,18.0,0.251,424.0,0.761,76.5,,MATCH_EXACT,563.09,0.165,J
177,19-14,ANL_Table_II_D0p436,0.436,18.0,0.246,332.0,0.672,117.5,,MATCH_EXACT,559.09,0.257,J
178,19-15,ANL_Table_II_D0p436,0.436,18.0,0.252,245.0,0.575,130.0,,MATCH_EXACT,566.09,0.284,J
179,19-16,ANL_Table_II_D0p436,0.436,18.0,0.252,140.0,0.473,168.0,,MATCH_EXACT,567.09,0.367,J
180,19-17,ANL_Table_II_D0p436,0.436,18.0,0.262,78.0,0.417,182.0,,MATCH_EXACT,577.09,0.399,J
181,19-18,ANL_Table_II_D0p436,0.436,18.0,0.274,42.5,0.369,179.5,,MATCH_EXACT,581.09,0.388,J
